subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma
64708,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64776,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64776,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64776,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64776,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64793,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64793,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64793,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64793,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64806,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64806,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64806,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64806,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64843,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64843,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64843,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64843,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64869,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64869,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64869,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64869,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64871,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64871,2,All B are C,All A are B,2.3,0.4583,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64871,3,All B are C,All A are C,2.45,0.4975,2,3,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64871,4,All B are C,No A are B,4.2,2.2271,2,7,20,1,0.6000000000000001,3.2600000000000002,0.0,0.5
64882,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64882,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64882,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64882,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64888,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64888,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64888,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64888,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
