subject_id,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,response_change_rate,mean_accuracy_gain,mean_confidence_change,mean_rt_change,number_of_trials,number_of_task_types,model_group_int,model_group_ref
69730,46.875,54.6875,64.6875,66.90625,3436.9234374947846,1453.927419354839,2.0,2.0,0.0,2,2,2.5,2.1666666666666665,0.6926166421990928,2,7,0.49999999999999994,14.0625,0.078125,2.21875,-1936.4903225764149,64,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69734,55.00000000000001,60.0,77.58333333333333,87.93333333333334,4656.375,4422.952542373689,2.0,2.0,0.0,2,2,2.55,2.0,0.8183972209748973,2,8,0.55,5.0,0.05,10.35,-243.105084744551,60,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69738,85.48387096774194,93.54838709677419,68.64516129032258,80.93548387096774,4421.709677419355,3908.5049180359138,2.0,2.0,0.0,2,2,3.704301075268817,2.833333333333333,1.9918822858885794,2,8,1.704301075268817,11.29032258064516,0.08064516129032258,12.290322580645162,-489.7540983567472,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69743,40.625,50.0,83.09375,88.96875,1833.996875006705,4116.366129033989,2.0,2.0,0.0,2,2,2.083333333333333,2.0,0.14547859349066142,2,3,0.08333333333333337,28.125,0.09375,5.875,2281.003225801453,64,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69745,50.0,50.0,70.58333333333333,76.05,4471.05,2259.6966101638354,2.0,2.0,0.0,2,2,2.0833333333333335,2.0,0.1455556274348953,2,3,0.08333333333333336,13.333333333333334,0.0,5.466666666666667,-2168.5220339035573,60,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69746,54.761904761904766,64.28571428571429,60.666666666666664,66.9047619047619,4250.792857136044,4617.03658537167,2.0,2.0,0.0,2,2,3.4365079365079367,2.6666666666666665,1.7476086568653328,2,7,1.4365079365079365,14.285714285714285,0.09523809523809523,6.238095238095238,397.0146341614629,42,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69750,46.03174603174603,46.03174603174603,55.142857142857146,75.31746031746032,4879.698412698407,3023.903225806461,2.0,2.0,0.0,2,2,2.084656084656084,2.0,0.1462586451600874,2,3,0.08465608465608469,19.047619047619047,0.0,20.174603174603174,-1851.741935483856,63,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69755,85.9375,93.75,72.765625,92.671875,4191.768750006332,5668.193750003355,2.0,2.0,0.0,2,2,3.6666666666666665,2.833333333333333,1.973367653069213,2,8,1.6666666666666665,10.9375,0.078125,19.90625,1476.4249999970218,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69768,49.2063492063492,46.03174603174603,50.98412698412698,55.904761904761905,3609.7984126986025,3638.349206349208,2.0,2.0,0.0,2,2,2.084656084656084,2.0,0.14625864516008738,2,3,0.08465608465608469,25.396825396825395,-0.031746031746031744,4.920634920634921,28.55079365060576,63,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69771,61.66666666666667,63.33333333333333,82.38333333333334,87.73333333333333,4527.9333333333325,715.5366666694482,2.0,2.0,0.0,2,2,2.0777777777777775,2.0,0.1421739560283661,2,3,0.0777777777777778,11.666666666666666,0.016666666666666666,5.35,-3812.396666663885,60,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69775,56.896551724137936,60.3448275862069,70.29310344827586,75.8103448275862,4633.743103448687,1074.691379306645,2.0,2.0,0.0,2,2,2.4655172413793105,2.1666666666666665,0.6664901964460754,2,7,0.4655172413793103,6.896551724137931,0.034482758620689655,5.517241379310345,-3559.0517241420416,58,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69784,48.38709677419355,53.2258064516129,52.67741935483871,59.11290322580645,4391.530645161386,1922.9426229506976,2.0,2.0,0.0,2,2,3.7150537634408605,2.6666666666666665,2.279908902882082,2,8,1.7150537634408605,11.29032258064516,0.04838709677419355,6.435483870967742,-2474.109836065867,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69788,63.33333333333333,80.0,56.71666666666667,69.3,4913.510000000398,11165.962711861575,2.0,2.0,0.0,2,2,3.5277777777777777,2.6666666666666665,1.877903694281701,2,8,1.5277777777777777,20.0,0.16666666666666666,12.583333333333334,6269.60338982687,60,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69790,60.0,68.33333333333333,49.61666666666667,72.76666666666667,4789.854999995232,2289.313559330116,2.0,2.0,0.0,2,2,2.472222222222222,2.0,0.6786817472120084,2,7,0.47222222222222215,15.0,0.08333333333333333,23.15,-2475.230508460837,60,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69793,65.625,71.875,62.125,63.21875,5004.925000000745,1414.1718750004657,2.0,2.0,0.0,2,2,3.5625,2.833333333333333,1.8826457018540896,2,8,1.5625,12.5,0.0625,1.09375,-3590.7531250002794,32,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69807,82.45614035087719,98.24561403508771,61.75438596491228,73.78947368421052,4914.252631576438,8910.691071428359,2.0,2.0,0.0,2,2,3.7426900584795324,3.0,1.9960452406239837,2,8,1.7426900584795322,15.789473684210526,0.15789473684210525,12.035087719298245,4015.00178571684,57,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69809,53.44827586206896,48.275862068965516,63.96551724137931,69.17241379310344,4184.153448211736,1679.645614071896,2.0,2.0,0.0,2,2,2.0804597701149423,2.0,0.14388571417283263,2,3,0.08045977011494257,12.068965517241379,-0.05172413793103448,5.206896551724138,-2495.7578946331096,58,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69810,58.730158730158735,79.36507936507937,43.476190476190474,61.80952380952381,3854.314285714328,9832.444262295016,2.0,2.0,0.0,2,2,3.693121693121693,3.0,1.9777449843959107,2,8,1.693121693121693,20.634920634920633,0.20634920634920634,18.333333333333332,6005.314754098225,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69815,64.0,68.0,90.08,92.12,5386.635999965668,1240.571999950409,2.0,2.0,0.0,2,2,2.0933333333333333,2.0,0.15275252316519455,2,3,0.09333333333333338,4.0,0.04,2.04,-4146.064000015259,25,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69824,51.5625,51.5625,85.03125,93.328125,4521.043749999254,2314.6483871013884,2.0,2.0,0.0,2,2,2.5,2.1666666666666665,0.6926166421990929,2,7,0.49999999999999994,3.125,0.0,8.296875,-2188.222580636701,64,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69827,70.96774193548387,79.03225806451613,53.274193548387096,69.75806451612904,5254.551612903995,19747.419672129585,2.0,2.0,0.0,2,2,3.704301075268817,2.833333333333333,1.9918822858885792,2,8,1.704301075268817,11.29032258064516,0.08064516129032258,16.483870967741936,14492.32950819418,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69830,50.877192982456144,49.122807017543856,71.28070175438596,82.85964912280701,4867.598245613473,2032.8892857145656,2.0,2.0,0.0,2,2,2.087719298245614,2.0,0.1480872194397729,2,3,0.08771929824561407,5.263157894736842,-0.017543859649122806,11.578947368421053,-2821.4392857133803,57,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69834,56.666666666666664,51.66666666666667,43.483333333333334,60.78333333333333,5815.438333336511,8368.849152542778,2.0,2.0,0.0,2,2,2.088888888888889,2.0,0.14864949695216106,2,3,0.08888888888888893,21.666666666666668,-0.05,17.3,2566.8610169463254,60,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69837,54.83870967741935,56.451612903225815,55.274193548387096,54.61290322580645,4300.079032258051,2033.6032258064636,2.0,2.0,0.0,2,2,2.0860215053763436,2.0,0.1470472443190053,2,3,0.08602150537634412,4.838709677419355,0.016129032258064516,-0.6612903225806451,-2266.4758064515877,62,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69842,57.8125,59.375,79.859375,82.421875,3471.8109374940395,1105.796774218159,2.0,2.0,0.0,2,2,3.5833333333333335,2.833333333333333,1.8305654912175866,2,7,1.5833333333333333,7.8125,0.015625,2.5625,-2338.3241935199308,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69855,49.2063492063492,53.96825396825397,72.68253968253968,73.28571428571429,3807.392063498497,1622.8435483882502,2.0,2.0,0.0,2,2,2.507936507936508,2.333333333333333,0.6952401994791715,2,7,0.5079365079365079,11.11111111111111,0.047619047619047616,0.6031746031746031,-2142.9709677465503,63,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
