subject_id,condition,n_trials,n_correct,n_incorrect,accuracy,mean_confidence_probability,calibration_bias,brier_score,type2_auc,mean_confidence_correct,mean_confidence_incorrect,confidence_discrimination
64926,Standard,64,35,29,0.546875,0.7146874999999999,0.16781249999999992,0.293490625,0.42758620689655175,70.28571428571429,72.89655172413794,-2.610837438423644
64939,Standard,64,32,32,0.5,0.6284375,0.12843749999999998,0.3024,0.49462890625,62.03125,63.65625,-1.625
64947,Standard,64,30,34,0.46875,0.6637500000000001,0.19500000000000006,0.30361249999999995,0.5102941176470588,65.96666666666667,66.73529411764706,-0.7686274509803894
64973,Standard,64,33,31,0.515625,0.6742187500000001,0.1585937500000001,0.3114296875,0.490713587487781,67.12121212121212,67.74193548387096,-0.6207233626588362
64976,Neutral,64,32,32,0.5,0.59421875,0.09421875000000002,0.26625468750000003,0.5068359375,59.1875,59.65625,-0.46875
65018,Neutral,64,38,26,0.59375,0.3453125,-0.24843749999999998,0.300728125,0.6442307692307692,35.078947368421055,33.73076923076923,1.3481781376518214
65021,Standard,64,39,25,0.609375,0.8500000000000001,0.2406250000000001,0.32925625,0.5225641025641026,86.28205128205128,83.0,3.2820512820512846
65028,Neutral,64,50,14,0.78125,0.5603125,-0.2209375,0.22829375,0.5685714285714286,56.34,54.92857142857143,1.4114285714285728
65048,Neutral,64,34,30,0.53125,0.74875,0.21750000000000003,0.319915625,0.5132352941176471,75.17647058823529,74.53333333333333,0.6431372549019585
65063,Standard,64,38,26,0.59375,0.9803125,0.38656250000000003,0.38702187499999996,0.569838056680162,99.63157894736842,95.6923076923077,3.9392712550607314
65065,Neutral,64,49,15,0.765625,0.67125,-0.09437499999999999,0.19713125,0.5530612244897959,67.73469387755102,65.13333333333334,2.601360544217684
65071,Neutral,64,34,30,0.53125,0.71265625,0.18140625,0.28728281250000004,0.5406862745098039,71.32352941176471,71.2,0.12352941176470722
65079,Neutral,64,46,18,0.71875,0.5565625,-0.16218750000000004,0.21625625,0.6642512077294687,57.869565217391305,50.0,7.869565217391305
65080,Standard,64,34,30,0.53125,0.84984375,0.31859375,0.4318046875,0.3602941176470589,80.58823529411765,89.96666666666667,-9.378431372549016
65088,Neutral,64,30,34,0.46875,0.90328125,0.43453125000000004,0.45513281250000004,0.5053921568627451,91.76666666666667,89.05882352941177,2.7078431372548977
65112,Standard,64,31,33,0.484375,0.78046875,0.29609375000000004,0.3956515625,0.4750733137829912,77.41935483870968,78.63636363636364,-1.2170087976539605
65163,Standard,64,35,29,0.546875,0.75265625,0.20578125000000003,0.35560156249999997,0.4556650246305418,74.37142857142857,76.34482758620689,-1.9733990147783231
65222,Neutral,64,32,32,0.5,0.5928125,0.09281249999999996,0.27965625,0.53369140625,59.46875,59.09375,0.375
65278,Standard,64,34,30,0.53125,0.8534375000000001,0.32218750000000007,0.392621875,0.4950980392156863,85.70588235294117,84.93333333333334,0.7725490196078368
65305,Neutral,64,39,25,0.609375,0.848125,0.23875000000000002,0.356640625,0.4287179487179487,83.41025641025641,87.0,-3.589743589743591
65322,Neutral,64,52,12,0.8125,0.76390625,-0.04859374999999999,0.2167265625,0.3990384615384615,75.1923076923077,81.58333333333333,-6.391025641025635
65323,Standard,64,35,29,0.546875,0.6760937499999999,0.12921874999999994,0.2844921875,0.5763546798029557,70.05714285714286,64.65517241379311,5.401970443349754
65466,Standard,64,32,32,0.5,1.0,0.5,0.5,0.5,100.0,100.0,0.0
65502,Neutral,64,49,15,0.765625,0.675,-0.09062499999999996,0.174925,0.6768707482993198,69.9795918367347,59.4,10.5795918367347
65554,Standard,64,36,28,0.5625,0.9375,0.375,0.5,0.4444444444444444,88.88888888888889,100.0,-11.111111111111114
65585,Neutral,64,36,28,0.5625,0.7046875000000001,0.14218750000000013,0.259925,0.6051587301587301,71.22222222222223,69.5,1.7222222222222285
65909,Neutral,64,38,26,0.59375,0.60484375,0.011093750000000013,0.2433515625,0.4428137651821863,60.3421052631579,60.69230769230769,-0.35020242914979605
65973,Standard,64,63,1,0.984375,0.6121875000000001,-0.3721874999999999,0.166403125,,61.22222222222222,61.0,0.22222222222222143
65995,Neutral,64,31,33,0.484375,0.8985937500000001,0.4142187500000001,0.4643203125,0.3225806451612903,86.96774193548387,92.57575757575758,-5.608015640273706
66020,Neutral,64,33,31,0.515625,0.72875,0.213125,0.33266249999999997,0.5742913000977518,75.78787878787878,69.7741935483871,6.013685239491679
66022,Neutral,64,36,28,0.5625,0.5334375,-0.02906249999999999,0.263228125,0.498015873015873,53.05555555555556,53.714285714285715,-0.6587301587301582
66036,Standard,64,31,33,0.484375,0.95640625,0.47203125,0.4781265625,0.5498533724340176,97.64516129032258,93.75757575757575,3.887585532746826
66050,Neutral,64,38,26,0.59375,0.6143749999999999,0.020624999999999893,0.26805625,0.5460526315789473,61.44736842105263,61.42307692307692,0.024291497975710286
66057,Standard,64,53,11,0.828125,0.751875,-0.07625000000000004,0.26746875,0.39193825042881647,73.32075471698113,84.18181818181819,-10.86106346483706
66073,Standard,64,41,23,0.640625,0.874375,0.23375,0.390628125,0.37592788971367974,83.34146341463415,94.73913043478261,-11.397667020148461
66085,Neutral,64,54,10,0.84375,0.858125,0.014375000000000027,0.15290625,0.55,85.98148148148148,84.9,1.0814814814814753
66087,Neutral,64,33,31,0.515625,0.64078125,0.12515624999999997,0.5646140625,0.3616813294232649,52.75757575757576,76.12903225806451,-23.371456500488755
66089,Standard,64,55,9,0.859375,0.6278125,-0.2315625,0.14239687499999998,0.8494949494949494,65.9090909090909,43.666666666666664,22.242424242424242
66121,Neutral,64,51,13,0.796875,0.70921875,-0.08765624999999999,0.1482671875,0.7503770739064857,73.76470588235294,59.76923076923077,13.995475113122176
66151,Neutral,64,56,8,0.875,0.62796875,-0.24703125000000004,0.1835921875,0.6116071428571428,64.39285714285714,51.625,12.767857142857139
66157,Standard,64,42,22,0.65625,0.41015625,-0.24609375,0.3671109375,0.3284632034632035,37.30952380952381,48.09090909090909,-10.781385281385283
66201,Neutral,64,32,32,0.5,0.6825,0.1825,0.37431249999999994,0.4326171875,64.09375,72.40625,-8.3125
66206,Standard,64,36,28,0.5625,0.7945312499999999,0.2320312499999999,0.3523734375,0.4181547619047619,79.02777777777777,80.0,-0.9722222222222285
66275,Neutral,64,34,30,0.53125,0.7846875,0.2534375,0.31523125,0.6416666666666666,82.76470588235294,73.6,9.164705882352948
66305,Neutral,64,34,30,0.53125,0.9528125000000001,0.42156250000000006,0.460940625,0.47549019607843135,94.08823529411765,96.63333333333334,-2.545098039215688
66312,Neutral,64,53,11,0.828125,0.6471875,-0.18093749999999997,0.196040625,0.5823327615780447,65.30188679245283,61.90909090909091,3.392795883361927
66314,Standard,64,35,29,0.546875,0.5393750000000002,-0.00749999999999984,0.250190625,0.4246305418719212,53.8,54.10344827586207,-0.303448275862074
66373,Neutral,64,33,31,0.515625,0.76515625,0.24953124999999998,0.3421578125,0.5430107526881721,78.06060606060606,74.87096774193549,3.189638318670575
66420,Standard,64,33,31,0.515625,0.6984374999999999,0.18281249999999993,0.300253125,0.4809384164222874,69.51515151515152,70.19354838709677,-0.6783968719452531
66520,Neutral,64,59,5,0.921875,0.98125,0.059374999999999956,0.062228124999999995,0.5864406779661017,99.67796610169492,79.8,19.877966101694923
67013,Standard,64,44,20,0.6875,0.75265625,0.06515625000000003,0.2283234375,0.3596590909090909,74.68181818181819,76.55,-1.8681818181818102
67024,Standard,64,34,30,0.53125,0.92484375,0.39359374999999996,0.4286265625,0.4455882352941176,91.88235294117646,93.16666666666667,-1.2843137254902075
67026,Neutral,64,31,33,0.484375,0.79671875,0.31234375000000003,0.40261718750000003,0.41642228739002934,80.03225806451613,79.33333333333333,0.6989247311827995
67038,Standard,64,36,28,0.5625,0.74390625,0.18140625,0.3994859375,0.39880952380952384,69.91666666666667,80.14285714285714,-10.226190476190467
67058,Standard,64,36,28,0.5625,0.995625,0.433125,0.43643125,0.4226190476190476,99.33333333333333,99.85714285714286,-0.5238095238095326
67100,Standard,64,32,32,0.5,0.8143750000000001,0.31437500000000007,0.35100624999999996,0.55712890625,83.5,79.375,4.125
67105,Standard,64,46,18,0.71875,0.71046875,-0.008281250000000018,0.20341718749999999,0.5018115942028986,71.15217391304348,70.77777777777777,0.37439613526571236
67144,Neutral,64,44,20,0.6875,0.8628125,0.17531249999999998,0.27499062500000004,0.5448863636363637,88.0909090909091,82.3,5.790909090909096
67179,Standard,64,38,26,0.59375,0.7371875000000001,0.1434375000000001,0.34315937500000004,0.43775303643724695,71.0,77.6923076923077,-6.692307692307693
67180,Standard,64,34,30,0.53125,0.656875,0.125625,0.402459375,0.45343137254901966,61.970588235294116,69.9,-7.92941176470589
67186,Standard,64,34,30,0.53125,0.83515625,0.30390625000000004,0.3286296875,0.6107843137254902,88.17647058823529,78.23333333333333,9.943137254901956
67194,Neutral,64,42,22,0.65625,0.47281249999999997,-0.18343750000000003,0.250059375,0.5443722943722944,49.095238095238095,43.81818181818182,5.277056277056275
67212,Neutral,64,33,31,0.515625,0.9689062500000001,0.4532812500000001,0.4719703125,0.4951124144672532,96.15151515151516,97.6774193548387,-1.5259042033235488
67245,Neutral,64,39,25,0.609375,0.74484375,0.13546875000000003,0.2783609375,0.40615384615384614,73.38461538461539,76.2,-2.815384615384616
67311,Standard,64,56,8,0.875,0.9107812500000001,0.0357812500000001,0.11586718749999998,0.6261160714285714,91.55357142857143,87.75,3.8035714285714306
67323,Standard,64,33,31,0.515625,0.64453125,0.12890625,0.27602031250000003,0.5332355816226784,64.75757575757575,64.12903225806451,0.6285434995112382
67339,Standard,64,36,28,0.5625,0.65,0.08750000000000002,0.27791875,0.6264880952380952,70.08333333333333,58.464285714285715,11.619047619047613
67424,Neutral,64,62,2,0.96875,1.0,0.03125,0.03125,0.5,100.0,100.0,0.0
67454,Neutral,64,38,26,0.59375,0.7134375,0.11968749999999995,0.285259375,0.49190283400809715,71.60526315789474,70.96153846153847,0.6437246963562728
68007,Standard,64,34,30,0.53125,0.92203125,0.39078124999999997,0.4266359375,0.5053921568627451,92.73529411764706,91.6,1.1352941176470637
68016,Neutral,64,26,38,0.40625,0.64140625,0.23515624999999996,0.3353828125,0.5394736842105263,65.53846153846153,63.18421052631579,2.3542510121457454
68027,Neutral,64,31,33,0.484375,0.7875,0.303125,0.328928125,0.5943304007820137,81.03225806451613,76.60606060606061,4.426197458455519
68051,Standard,64,53,11,0.828125,0.6315625,-0.19656249999999997,0.22886250000000002,0.46397941680960547,63.60377358490566,61.0,2.6037735849056602
68124,Neutral,64,47,17,0.734375,0.95796875,0.22359375000000004,0.2581453125,0.4392991239048811,95.80851063829788,95.76470588235294,0.04380475594493305
68138,Standard,64,35,29,0.546875,0.7871874999999999,0.24031249999999993,0.372359375,0.4399014778325124,76.8,81.03448275862068,-4.234482758620686
68193,Standard,64,47,17,0.734375,0.6771875,-0.05718749999999995,0.215996875,0.611389236545682,69.36170212765957,63.1764705882353,6.185231539424272
68200,Neutral,64,32,32,0.5,0.8584375,0.35843749999999996,0.3917125,0.5625,86.8125,84.875,1.9375
68255,Neutral,64,35,29,0.546875,0.68484375,0.13796874999999997,0.37813281249999997,0.3591133004926108,63.31428571428572,74.72413793103448,-11.40985221674876
68293,Standard,64,37,27,0.578125,0.7999999999999999,0.22187499999999993,0.312178125,0.4929929929929931,79.72972972972973,80.37037037037037,-0.6406406406406404
68411,Neutral,64,59,5,0.921875,0.9490625,0.02718750000000003,0.055396875,0.6847457627118645,97.86440677966101,60.0,37.86440677966101
68426,Standard,64,32,32,0.5,0.695,0.19499999999999995,0.344753125,0.48828125,69.375,69.625,-0.25
68542,Neutral,64,48,16,0.75,0.69984375,-0.05015625000000001,0.21378906250000002,0.6783854166666666,73.6875,58.875,14.8125
68549,Neutral,64,52,12,0.8125,0.66546875,-0.14703124999999995,0.16545781250000002,0.6145833333333333,67.92307692307692,60.583333333333336,7.339743589743584
68786,Neutral,64,49,15,0.765625,0.713125,-0.05249999999999999,0.191325,0.5006802721088435,72.3061224489796,68.06666666666666,4.23945578231293
68800,Neutral,64,41,23,0.640625,0.9650000000000001,0.3243750000000001,0.348884375,0.5800636267232238,96.73170731707317,96.08695652173913,0.6447507953340477
68832,Neutral,64,50,14,0.78125,0.76703125,-0.014218749999999947,0.1932421875,0.3842857142857143,75.96,79.35714285714286,-3.3971428571428675
68850,Standard,64,43,21,0.671875,0.97703125,0.30515625,0.2990890625,0.5476190476190477,100.0,93.0,7.0
68881,Standard,64,33,31,0.515625,0.9696875,0.45406250000000004,0.482246875,0.5151515151515151,96.18181818181819,97.80645161290323,-1.6246334310850443
68882,Neutral,64,44,20,0.6875,0.82921875,0.14171875,0.26372031250000005,0.5573863636363636,85.27272727272727,77.75,7.522727272727266
68896,Standard,64,42,22,0.65625,0.8174999999999999,0.1612499999999999,0.243403125,0.6466450216450217,84.11904761904762,77.22727272727273,6.891774891774887
68906,Neutral,64,29,35,0.453125,0.6303125,0.17718750000000005,0.3064,0.5177339901477833,64.93103448275862,61.457142857142856,3.4738916256157637
68939,Standard,64,32,32,0.5,0.9421875,0.44218749999999996,0.45777812500000004,0.46875,93.78125,94.65625,-0.875
68987,Standard,64,52,12,0.8125,0.9489062500000001,0.13640625000000006,0.1684296875,0.44871794871794873,96.26923076923077,88.91666666666667,7.352564102564102
69019,Neutral,64,41,23,0.640625,0.6515625,0.010937500000000044,0.267403125,0.4931071049840933,66.29268292682927,63.130434782608695,3.1622481442205768
69283,Neutral,64,36,28,0.5625,0.86625,0.30374999999999996,0.3343625,0.5238095238095237,88.77777777777777,83.85714285714286,4.92063492063491
