subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
64923,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
64923,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
64923,MT,2.0,2.0,2.0,0.0,0.0,0.0
64926,AC,2.6667,2.5,2.5,-0.16670000000000007,-0.16670000000000007,0.0
64926,DA,3.3333,4.5,4.7,1.1667,1.3667000000000002,0.20000000000000018
64926,MP,2.3333,2.4,2.35,0.06669999999999998,0.01670000000000016,-0.04999999999999982
64926,MT,2.0,2.0,2.0,0.0,0.0,0.0
64939,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64939,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64939,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64939,MT,2.0,2.0,2.0,0.0,0.0,0.0
64947,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
64947,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
64947,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
64947,MT,2.0,2.0,2.0,0.0,0.0,0.0
64973,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
64973,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
64973,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
64973,MT,2.0,2.0,2.0,0.0,0.0,0.0
64976,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64976,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64976,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64976,MT,2.0,2.0,2.0,0.0,0.0,0.0
65018,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
65018,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
65018,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
65018,MT,2.0,2.0,2.0,0.0,0.0,0.0
65021,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65021,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65021,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65021,MT,2.0,2.0,2.0,0.0,0.0,0.0
65028,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65028,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
65028,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
65028,MT,2.0,2.0,2.0,0.0,0.0,0.0
65048,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
65048,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
65048,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
65048,MT,2.0,2.0,2.0,0.0,0.0,0.0
65063,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
65063,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
65063,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
65063,MT,2.0,2.0,2.0,0.0,0.0,0.0
65065,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
65065,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
