subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma,task_type,simulation_setting
64685,3,All B are C,All A are C,2.6667,0.4714,2,3,3,1,0.5,4.05,0.5,0.8,AC,3
64685,4,All B are C,No A are B,7.3333,0.4714,7,8,3,1,0.5,4.05,0.5,0.8,DA,3
64695,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.7000000000000001,0.9,MT,3
64695,2,All B are C,All A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.7000000000000001,0.9,MP,3
64695,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.7000000000000001,0.9,AC,3
64695,4,All B are C,No A are B,6.3333,0.4714,6,7,3,1,0.5,4.05,0.7000000000000001,0.9,DA,3
64707,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64707,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64707,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
64707,4,All B are C,No A are B,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,DA,3
64708,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.2,0.9,MT,3
64708,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.2,0.9,MP,3
64708,3,All B are C,All A are C,3.0,0.0,3,3,3,1,0.5,4.05,0.2,0.9,AC,3
64708,4,All B are C,No A are B,5.3333,2.357,2,7,3,1,0.5,4.05,0.2,0.9,DA,3
64776,1,All B are C,No A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,MT,3
64776,2,All B are C,All A are B,2.3333,0.4714,2,3,3,1,0.5,4.05,0.6000000000000001,0.1,MP,3
64776,3,All B are C,All A are C,2.0,0.0,2,2,3,1,0.5,4.05,0.6000000000000001,0.1,AC,3
